"hyena_ID","sample_ID","date_sampling","module","sub_module","clan","sex","birthdate","age_sampling","age_sampling_cat","litter_size","twin_status","sex_comp","date_reversal1","date_reversal2","type_adoption","genetic_mum_alive","social_rank_genetic_mum","surrogate_mum1_alive","social_rank_surrogate_mum1","surrogate_mum2_alive","social_rank_surrogate_mum2","date_adoption","social_rank_hyena_ID","prey_level","prey_level_imputed","sampling_month","season"
"P427","X3300",2004-06-21,"intest_biomes","adoptions","P","M",2004-02-28,114,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"no_adoption","mum_alive",0.11,NA,NA,NA,NA,NA,NA,2,2,6,"dry"
"P436","X3322",2004-06-29,"intest_biomes","adoptions","P","M",2004-04-15,75,"sampled_as_juvenile",NA,NA,"mixed",NA,NA,"adoption","mum_alive",-1,"surrogate_mum1_alive",-0.33,NA,NA,2004-05-16,NA,2,2,6,"dry"
"M491","X4350",2005-12-28,"intest_biomes","adoptions","M","M",2004-01-04,724,"sampled_as_juvenile",NA,NA,"MM",NA,NA,"adoption","mum_dead",NA,"surrogate_mum1_alive",-0.93,NA,NA,2004-02-16,NA,3,3,12,"wet"
"M148","X5461",2006-01-31,"intest_biomes","adoptions","M","F",1990-05-19,5736,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.93,2,2,1,"wet"
"M532","X5506",2006-02-06,"intest_biomes","social_dyn","M","F",2005-08-31,159,"sampled_as_juvenile","twin","twin_sub","FF",NA,NA,"no_adoption","mum_alive",0.43,NA,NA,NA,NA,NA,NA,2,2,2,"wet"
"M567","X6415",2007-09-11,"intest_biomes","twins","M","M",2007-03-15,180,"sampled_as_juvenile","twin","twin_sub","mixed",2007-10-18,NA,"no_adoption","mum_alive",-0.72,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
"M550","X6423",2007-09-15,"intest_biomes","social_dyn_twins","M","F",2006-06-14,458,"sampled_as_juvenile","twin","twin_dom","mixed",2007-02-21,NA,"no_adoption","mum_alive",-0.5,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
"M551","X6425",2007-09-15,"intest_biomes","twins","M","M",2006-06-14,458,"sampled_as_juvenile","twin","twin_sub","mixed",2007-02-21,NA,"no_adoption","mum_alive",-0.5,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
"I459","X6441",2007-09-18,"intest_biomes","social_dyn","I","F",2007-05-26,115,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"no_adoption","mum_alive",0.1,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
"P489","X6464",2007-09-21,"intest_biomes","social_dyn","P","F",2006-06-16,462,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",0.93,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
