"","hyena_ID","date_sampling","sample_ID.x","module","sub_module","clan","sex","birthdate","age_sampling","age_sampling_cat","litter_size","twin_status","sex_comp","date_reversal1","date_reversal2","type_adoption","genetic_mum_alive","social_rank_genetic_mum","surrogate_mum1_alive","social_rank_surrogate_mum1","surrogate_mum2_alive","social_rank_surrogate_mum2","date_adoption","social_rank_hyena_ID","prey_level","prey_level_imputed","sampling_month","season","total_parasite_load","Ancylostoma_egg_load","Ancylostoma_rich","Cystoisospora_oocyst_load","Cystoisospora_rich","Spirometra_egg_load","Spirometra_rich","Dipylidium_egg_load","Dipylidium_rich..includes.proglotids.visualization.info.","Trichuris_egg_load","Trichuris_rich","Taeniidae_egg_load","Taeniidae_rich","Spirurida_egg_load","Spirurida_rich","Mesocestoides_egg_load","Mesocestoides_rich","other_unidentified_taxa","other_rich","total_parasite_rich","total_parasite_rich_without_other","mucin","IgA","IgG","fGCM","lysozyme","lysozyme_detection","neopterin","neopterin_CV","extract_prepared_neopterin","date_neopterin","time_of_storage_neopterin","sample_ID.y","cortisol","ID_sib","genetic_mum","surrogate_mum"
"1","I247","2009-12-15","X9162","intest_biomes","adoptions","I","F","1996-08-27",4858,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.54,2,2,12,"wet",75,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,88.23171755,44739.81424,28.33800714,47.73,0,0,19.38,"5 - 10%","22-Jan-2021","5-Feb-2021",14,"ES1299",47.73,NA,"I166","I153"
"2","I278","2011-04-13","B2400","intest_biomes","adoptions","I","F","1998-04-11",4750,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85,1,1,4,"wet",125,50,1,0,0,25,1,0,0,0,0,0,0,0,0,50,1,0,0,3,3,85.11337766,261229.5666,11121.6177,38.36,0,0,12.81,"< 5%","24-Feb-2020","14-Dec-2020",294,"ES1608",38.36,NA,"I153","I153"
"3","I351","2010-09-28","B897","intest_biomes","adoptions","I","F","2001-08-11",3335,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,2,9,"dry",625,225,1,0,0,0,0,0,0,0,0,0,0,400,1,0,0,0,0,2,2,73.63433191,154851.9515,0,30.237,0,0,11.7,"< 5%","22-Jan-2021","5-Feb-2021",14,"ES1423",30.24,"I350","I201","I201"
"4","I365","2007-11-29","X6753","intest_biomes","social_dyn","I","F","2002-06-14",1994,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48,2,2,11,"wet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.52018563,88376.27567,13.52789787,38.545,0,0,20.441,"< 5%","22-Jan-2021","27-Jan-2021",5,"ES897",38.55,"I366","I182","I182"
"5","I365","2014-11-07","B6320","intest_biomes","extreme_ranks","I","F","2002-06-14",4529,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,2,2,11,"wet",675,400,1,0,0,275,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,29.89088306,170184.449,339.3864171,28.881,0,0,21.09,"< 5%","24-Feb-2020","16-Dec-2020",296,"ES1935",28.88,"I366","I182","I182"
"6","I369","2007-09-26","X6473","intest_biomes","social_dyn","I","F","2002-08-21",1862,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24,2,2,9,"dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.88792016,60828.58867,333.8838693,15.09,0,0,2.133,"< 5%","16-Apr-2020","16-Dec-2020",244,"ES850",15.09,NA,"I214","I214"
"7","I405","2015-06-08","B6739","intest_biomes","extreme_ranks","I","F","2005-02-16",3764,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.76,1,1,6,"dry",25,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13.84058026,677477.8173,510.2673876,27.695,0,0,1.302,"< 5%","24-Feb-2020","16-Dec-2020",296,"ES2114",27.7,"I408","I247","I247"
"8","I434","2016-07-27","B7860","intest_biomes","extreme_ranks","I","F","2006-02-21",3809,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17,2,2,7,"dry",25,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,1,1,71.91142389,237742.1671,7.041535313,77.29,0,0,37.56,"< 5%","24-Feb-2020","16-Dec-2020",296,"ES2357",77.29,NA,"I363","I363"
"9","I447","2009-11-30","X8931","intest_biomes","extreme_ranks","I","F","2006-08-20",1198,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,3,3,11,"wet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.03930754,160326.7018,58.59857043,12.21,0,0,3.564,"5 - 10%","24-Feb-2020","14-Dec-2020",294,"ES1274",12.21,"I448","I247","I247"
"10","I458","2009-06-05","X8181","intest_biomes","social_dyn","I","F","2007-04-01",796,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.88,1,1,6,"dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.179003,665413.2905,18.82768854,17.579,1.302044,1,53.51,"< 5%","22-Jan-2021","28-Jan-2021",6,"ES1145",208.75,NA,"I278","I278"
