hyena_ID,date_sampling,sample_ID.x,module,sub_module,clan,sex,birthdate,age_sampling,age_sampling_cat,litter_size,twin_status,sex_comp,date_reversal1,date_reversal2,type_adoption,genetic_mum_alive,social_rank_genetic_mum,surrogate_mum1_alive,social_rank_surrogate_mum1,surrogate_mum2_alive,social_rank_surrogate_mum2,date_adoption,social_rank_hyena_ID,prey_level,prey_level_imputed,sampling_month,season,total_parasite_load,Ancylostoma_egg_load,Ancylostoma_rich,Cystoisospora_oocyst_load,Cystoisospora_rich,Spirometra_egg_load,Spirometra_rich,Dipylidium_egg_load,Dipylidium_rich..includes.proglotids.visualization.info.,Trichuris_egg_load,Trichuris_rich,Taeniidae_egg_load,Taeniidae_rich,Spirurida_egg_load,Spirurida_rich,Mesocestoides_egg_load,Mesocestoides_rich,other_unidentified_taxa,other_rich,total_parasite_rich,total_parasite_rich_without_other,mucin,IgA,IgG,fGCM,lysozyme,lysozyme_detection,neopterin,neopterin_CV,extract_prepared_neopterin,date_neopterin,time_of_storage_neopterin,sample_ID.y,cortisol,AFR,LRS,age_death,Survival_Ad
I247,12/15/2009,X9162,intest_biomes,adoptions,I,F,8/27/1996,4858,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.54,2,2,12,wet,75,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.823.171.755,4.473.981.424,2.833.800.714,47.73,0,0,19.38,5 - 10%,22. Jan 21,05. Feb 21,14,ES1299,47.73,1752,8,6758,Yes
I278,4/13/2011,B2400,intest_biomes,adoptions,I,F,04.11.1998,4750,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85,1,1,4,wet,125,50,1,0,0,25,1,0,0,0,0,0,0,0,0,50,1,0,0,3,3,8.511.337.766,2.612.295.666,111.216.177,38.36,0,0,Dez 81,< 5%,24. Feb 20,14-Dec-20,294,ES1608,38.36,1460,5,4990,Yes
I351,9/28/2010,B897,intest_biomes,adoptions,I,F,08.11.2001,3335,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,2,9,dry,625,225,1,0,0,0,0,0,0,0,0,0,0,400,1,0,0,0,0,2,2,7.363.433.191,1.548.519.515,0,30.237,0,0,11. Jul,< 5%,22. Jan 21,05. Feb 21,14,ES1423,30.24,1496,4,5219,Yes
I365,11/29/2007,X6753,intest_biomes,social_dyn,I,F,6/14/2002,1994,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48,2,2,11,wet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.352.018.563,8.837.627.567,1.352.789.787,38.545,0,0,20.441,< 5%,22. Jan 21,27. Jan 21,5,ES897,38.55,2226,0,4640,Yes
I365,11.07.2014,B6320,intest_biomes,extreme_ranks,I,F,6/14/2002,4529,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,2,2,11,wet,675,400,1,0,0,275,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2.989.088.306,170.184.449,3.393.864.171,28.881,0,0,21. Sep,< 5%,24. Feb 20,16-Dec-20,296,ES1935,28.88,2226,0,4640,Yes
I369,9/26/2007,X6473,intest_biomes,social_dyn,I,F,8/21/2002,1862,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24,2,2,9,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.688.792.016,6.082.858.867,3.338.838.693,15. Sep,0,0,2.133,< 5%,16. Apr 20,16-Dec-20,244,ES850,15. Sep,1752,0,2608,Yes
I405,06.08.2015,B6739,intest_biomes,extreme_ranks,I,F,2/16/2005,3764,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.76,1,1,6,dry,25,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.384.058.026,6.774.778.173,5.102.673.876,27.695,0,0,1.302,< 5%,24. Feb 20,16-Dec-20,296,ES2114,27. Jul,1533,3,4705,Yes
I434,7/27/2016,B7860,intest_biomes,extreme_ranks,I,F,2/21/2006,3809,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17,2,2,7,dry,25,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,1,1,7.191.142.389,2.377.421.671,7.041.535.313,77.29,0,0,37.56,< 5%,24. Feb 20,16-Dec-20,296,ES2357,77.29,1460,3,NA,Yes
I447,11/30/2009,X8931,intest_biomes,extreme_ranks,I,F,8/20/2006,1198,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,3,3,11,wet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.803.930.754,1.603.267.018,5.859.857.043,Dez 21,0,0,3.564,5 - 10%,24. Feb 20,14-Dec-20,294,ES1274,Dez 21,1204,0,1887,Yes
I458,06.05.2009,X8181,intest_biomes,social_dyn,I,F,04.01.2007,796,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.88,1,1,6,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.179.003,6.654.132.905,1.882.768.854,17.579,1.302.044,1,53.51,< 5%,22. Jan 21,28. Jan 21,6,ES1145,208.75,1168,0,1783,Yes
