"Var1","Freq"
"Bacteroides",1959
"Clostridium",830
"Blautia",627
"Ruminococcus",391
"Peptacetobacter",384
"Collinsella",360
"Parabacteroides",330
"Prevotellamassilia",263
"Lactobacillus",253
"Sutterella",235
"Phocaeicola",231
"Fusobacterium",225
"Peptostreptococcus",183
"Anaerobiospirillum",148
"Phascolarctobacterium",144
"Helicobacter",125
"Megamonas",125
"Mediterraneibacter",124
"Eubacterium",123
"Negativibacillus",123
"Mycoplasma",98
"Desulfovibrio",94
"Olsenella",84
"Streptococcus",79
"Butyricimonas",77
"Campylobacter",69
"Peptoniphilus",67
"Tyzzerella",65
"Faecalimonas",63
"Amedibacillus",62
"Alistipes",59
"Hathewaya",59
"Lacrimispora",59
"Odoribacter",58
"Peptococcus",58
"Roseburia",58
"Slackia",52
"Candidatus Arthromitus",50
"Flavonifractor",45
"Coprococcus",41
"Oscillibacter",39
"Prevotella",39
"Ruthenibacterium",39
"Bifidobacterium",38
"Solobacterium",37
"Faecalibacterium",36
"Barnesiella",35
"Romboutsia",35
"Butyricicoccus",34
"Enterococcus",34
"Acidaminococcus",33
"Escherichia",33
"Mucispirillum",33
"Bradyrhizobium",32
"Duncaniella",31
"Paeniclostridium",31
"Pectinatus",31
"Allisonella",30
"Micrococcus",30
"Anaeroplasma",29
"Intestinibacillus",29
"Megasphaera",28
"Oribacterium",26
"Corynebacterium",24
"Evtepia",24
"Staphylococcus",24
"Terrisporobacter",24
"Succinivibrio",23
"Akkermansia",22
"Anaeromassilibacillus",22
"Lachnoclostridium",22
"Sphingomonas",22
"Coriobacterium",21
"Dorea",21
"Agathobaculum",20
"Ihubacter",20
"Anaerotruncus",19
"Mesorhizobium",19
"Salmonella",19
"Enorma",18
"Lactimicrobium",18
"Microvirga",16
"Paracoccus",16
"Kurthia",15
"Methylobacterium",15
"Ureaplasma",14
"Faecalicatena",13
"Rhodopseudomonas",13
"Erysipelothrix",12
"Muribaculum",12
"Tannerella",12
"Anaerotignum",11
"Mediterranea",11
"Micromonospora",11
"Vibrio",11
"Clostridioides",10
"Erysipelatoclostridium",10
"Mailhella",10
"Turicibacter",10
"Acinetobacter",9
"Brevundimonas",9
"Intestinimonas",9
"Afipia",8
"Anaerovorax",8
"Cetobacterium",8
"Coprobacillus",8
"Culturomica",8
"Eggerthella",8
"Enterorhabdus",8
"Rhodococcus",8
"Chelatococcus",7
"Citrobacter",7
"Oscillospira",7
"Plesiomonas",7
"Pseudoflavonifractor",7
"Devosia",6
"Drancourtella",6
"Duodenibacillus",6
"Dysgonomonas",6
"Enterocloster",6
"Faecalitalea",6
"Filifactor",6
"Intestinibacter",6
"Phocea",6
"Aeribacillus",5
"Arthrobacter",5
"Microbacterium",5
"Mogibacterium",5
"Nordella",5
"Paenibacillus",5
"Rhizobium",5
"Alloprevotella",4
"Atopobium",4
"Beduini",4
"Chryseobacterium",4
"Delftia",4
"Faecalicoccus",4
"Fournierella",4
"Gordonibacter",4
"Longibaculum",4
"Niameybacter",4
"Nitratireductor",4
"Nocardioides",4
"Parvibacter",4
"Parvimonas",4
"Pasteurella",4
"Phreatobacter",4
"Rhodoplanes",4
"Anaerostipes",3
"Casaltella",3
"Christensenella",3
"Coprobacter",3
"Dielma",3
"Edwardsiella",3
"Flintibacter",3
"Gemella",3
"Holdemanella",3
"Macrococcus",3
"Paraprevotella",3
"Parasutterella",3
"Pygmaiobacter",3
"Schaalia",3
"Tepidimicrobium",3
"Abiotrophia",2
"Actinomadura",2
"Allobaculum",2
"Amedibacterium",2
"Anaerofilum",2
"Anoxybacillus",2
"Arabia",2
"Asaccharospora",2
"Bacillus",2
"Bilophila",2
"Bordetella",2
"Bosea",2
"Brevibacterium",2
"Candidatus Stoquefichus",2
"Caproiciproducens",2
"Catonella",2
"Cryobacterium",2
"Enterobacter",2
"Flavobacterium",2
"Fonticella",2
"Geobacillus",2
"Glaesserella",2
"Glucerabacter",2
"Gordonia",2
"Haematobacter",2
"Haemophilus",2
"Hymenobacter",2
"Lachnospira",2
"Lactococcus",2
"Limosilactobacillus",2
"Marvinbryantia",2
"Methyloligella",2
"Ochrobactrum",2
"Proteus",2
"Pseudolabrys",2
"Raoultibacter",2
"Roseomonas",2
"Sedimentibacter",2
"Sphingobium",2
"Sporosarcina",2
"Stenotrophomonas",2
"Tabrizicola",2
"Variovorax",2
"Victivallis",2
"Absiella",1
"Acholeplasma",1
"Agrobacterium",1
"Aminipila",1
"Anaerobutyricum",1
"Anaerococcus",1
"Anaerocolumna",1
"Anaerofustis",1
"Anaerorhabdus",1
"Angelakisella",1
"Aureimonas",1
"Azospirillum",1
"Bartonella",1
"Bulleidia",1
"Burkholderia",1
"Erythrobacter",1
"Finegoldia",1
"Friedmanniella",1
"Gleimia",1
"Granulibacter",1
"Holdemania",1
"Hungatella",1
"Hypericibacter",1
"Jeotgalibacillus",1
"Lagierella",1
"Leuconostoc",1
"Massilia",1
"Monoglobus",1
"Murdochiella",1
"Neorhizobium",1
"Nitrobacter",1
"Novosphingobium",1
"Oligotropha",1
"Oricola",1
"Pseudarthrobacter",1
"Pseudorhodoplanes",1
"Psychrobacillus",1
"Rhodospirillum",1
"Robinsoniella",1
"Roseitalea",1
"Rubrobacter",1
"Serratia",1
"Shigella",1
"Sinorhizobium",1
"Spironema",1
"Stappia",1
"Stella",1
"Syntrophomonas",1
"Tardiphaga",1
"Urmitella",1
"Weissella",1
